beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
0.42000000,0.69493975,0.54161164,0.37244734,1.26966428
0.42200000,0.70396541,0.55271397,0.38356973,1.25557727
0.42400000,0.71272856,0.56368791,0.39485040,1.24266809
0.42600000,0.72057266,0.57328616,0.40528049,1.23314113
0.42800000,0.72841369,0.58345827,0.41620769,1.22261721
0.43000000,0.73683884,0.59369713,0.42755903,1.21301507
0.43200000,0.74465844,0.60398980,0.43850737,1.20203660
0.43400000,0.75283734,0.61499867,0.45006428,1.18994308
0.43600000,0.76027362,0.62415955,0.46038597,1.18176425
0.43800000,0.76762688,0.63396733,0.47114203,1.17224421
0.44000000,0.77595116,0.64471580,0.48359259,1.16343739
0.44200000,0.78209725,0.65300013,0.49285178,1.15581891
0.44400000,0.78888819,0.66213605,0.50365107,1.14877586
0.44600000,0.79603003,0.67212647,0.51449217,1.13887687
0.44800000,0.80187509,0.67988327,0.52415793,1.13394882
0.45000000,0.80798587,0.68844727,0.53407010,1.12682613
0.45200000,0.81447963,0.69728200,0.54450463,1.11991399
0.45400000,0.81999797,0.70480706,0.55380523,1.11485031
0.45600000,0.82624244,0.71388041,0.56437264,1.10742680
0.45800000,0.83144325,0.72128536,0.57342307,1.10220133
0.46000000,0.83616194,0.72788917,0.58194868,1.09838394
