beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
0.40000000,0.38698047,0.20670312,0.07683030,0.40059939
0.40400000,0.40992969,0.22199609,0.08459236,0.42783774
0.40800000,0.44702344,0.23971875,0.10640486,0.38278539
0.41200000,0.47203125,0.28244141,0.12577166,0.47446117
0.41600000,0.49592578,0.30941797,0.13980222,0.51325471
0.42000000,0.58117969,0.38851758,0.20755855,0.54164915
0.42400000,0.56745313,0.38697461,0.19893954,0.55717216
0.42800000,0.61216406,0.43569336,0.23645730,0.58478829
0.43200000,0.62919141,0.45994531,0.25897222,0.59194422
0.43600000,0.65119922,0.47961914,0.27790052,0.59730606
0.44000000,0.72743750,0.55404688,0.36201129,0.60689566
0.44400000,0.72108984,0.55762109,0.36767869,0.60584338
0.44800000,0.77323047,0.61036914,0.42406113,0.62057838
0.45200000,0.78779687,0.64608008,0.44148940,0.64744545
0.45600000,0.80017969,0.65560742,0.46388624,0.64024859
0.46000000,0.82713672,0.71725391,0.51113235,0.66881835
0.46400000,0.83647266,0.71771680,0.53173292,0.65591473
0.46800000,0.84687109,0.72725977,0.55298190,0.65149378
0.47200000,0.85281250,0.73387891,0.56640538,0.64944408
0.47600000,0.87283594,0.76166797,0.60743382,0.65098320
0.48000000,0.87958984,0.78180859,0.62192562,0.66083087
